pais_datos_2018	countries	Barcelona	Girona	Lleida	Tarragona	Cataluña	population
Argelia	Algeria	324	781	2521	1894	8436	43851044
Argentina	Argentina	11079	1796	406	197	15251	45195774
Armenia	Armenia	2922	193	31	109	3255	2963243
Austria	Austria	2558	140	55	115	2868	9006398
Bangladesh	Bangladesh	6407	100	95	25	6627	164689383
Bélgica	Belgium	4597	1664	90	1033	7384	11589623
Bolivia	Bolivia	22727	226	620	134	26947	11673021
Brasil	Brazil	9426	1565	887	1552	1343	212559417
Bulgaria	Bulgaria	8726	2545	3172	2895	17338	6948445
Chile	Chile	5354	782	147	669	6952	19116201
China	China	51693	4772	2116	3955	62536	1439323776
Colombia	Colombia	14012	2283	1487	3522	21304	50882891
Cuba	Cuba	482	752	234	902	6708	11326616
República Checa	Czech Republic	2171	390	126	566	3253	10708981
República Dominicana	Dominican Republic	1372	1155	620	1254	16749	10847910
Ecuador	Ecuador	23178	1348	559	1905	2699	17643054
Francia	France	41973	9166	559	3603	55301	65273511
Gambia	Gambia	5292	8013	1491	305	15101	2416668
Georgia	Georgia	3854	379	74	407	4714	3989167
Alemania	Germany	24257	3629	269	267	30825	83783942
Ghana	Ghana	4864	421	387	407	6079	31072940
Guinea	Guinea	1978	762	1249	127	4116	13132795
Honduras	Honduras	9168	6161	128	362	15819	9904607
Hungría	Hungary	257	296	55	334	3255	9660351
India	India	14548	5447	377	1508	2188	1380004385
Irlanda	Ireland	3273	288	46	243	385	4937786
Italia	Italy	75734	532	835	5031	8692	60461826
Lituania	Lithuania	1624	583	234	1295	3736	2722289
Mali	Mali	3369	1937	2	256	7562	20250833
Mauritania	Mauritania	1056	409	366	23	1854	4649658
Méjico	Mexico	3765	247	101	319	4432	128932753
Moldavia	Moldavia	1767	574	401	1257	3999	4033963
Marruecos	Morocco	123591	40058	15753	39583	218985	36910560
Países Bajos	Netherlands	11362	2426	166	1459	15413	17134872
Nigeria	Nigeria	3739	460	589	763	5551	206139589
Paquistán	Pakistan	41537	1047	676	4027	47287	220892340
Paraguai	Paraguay	83	239	93	431	9063	7132538
Perú	Peru	14605	763	443	806	16617	32971854
Filipinas	Philippines	10133	366	23	434	10956	109581078
Polonia	Poland	14449	1978	2449	2273	21149	37846611
Portugal	Portugal	17413	2751	2012	201	24186	10196709
Rumanía	Romania	49957	20185	33022	3469	137854	19237691
Rusia	Russian Federation	11094	4341	630	2293	18358	145934462
Senegal	Senegal	1059	3359	3867	307	20886	16743927
Eslovaquia	Slovakia	1494	414	291	728	2927	5459642
Suecia	Sweden	905	231	25	144	945	10099265
Suiza	Switzerland	2819	787	25	784	4415	8654622
Ucrania	Ukraine	9226	3421	349	2597	18734	43733762
Reino Unido	United Kingdom	23815	3764	366	3945	3189	67886011
Estados Unidos	United States	5406	353	56	260	6075	331002651
Uruguai	Uruguay	4525	1086	118	763	6492	3473730
Venezuela	Venezuela	8466	479	195	712	9852	28435940
