pais	country	total_migrants_in_spain	population_of_origin_country	country_iso
Albania	Albania	1732	2877797	ALB
Alemania	Germany	172265	83783942	DEU
Andorra	Andorra	926	77265	AND
Angola	Angola	1306	32866272	AGO
Arabia Saudí	Saudi Arabia	502	34813871	SAU
Argelia	Algeria	56617	43851044	DZA
Argentina	Argentina	62779	45195774	ARG
Armenia	Armenia	9990	2963243	ARM
Australia	Australia	2154	25499884	AUS
Austria	Austria	12863	9006398	AUT
Azerbaiyán	Azerbaijan	526	10139177	AZE
Bangladés	Bangladesh	15261	164689383	BGD
Bélgica	Belgium	39833	11589623	BEL
Benín	Benin	294	12123200	BEN
Bielorrusia	Belarus	4365	9449323	BLR
Bolivia	Bolivia	89483	11673021	BOL
Bosnia-Herzegovina	Bosnia and Herzegovina	1075	3280819	BIH
Brasil	Brazil	61655	212559417	BRA
Bulgaria	Bulgaria	197373	6948445	BGR
Burkina Faso	Burkina Faso	1205	20903273	BFA
Cabo Verde	Cabo Verde	2613	555987	CPV
Camerún	Cameroon	5035	26545863	CMR
Canadá	Canada	3423	37742154	CAN
Chile	Chile	20851	19116201	CHL
China	China	222137	1439323776	CHN
Chipre	Cyprus	720	1207359	CYP
Colombia	Colombia	129849	50882891	COL
Congo	Congo	603	5518087	COG
Corea del Sur	South Korea	3028	51269185	KOR
Costa de Marfil	Côte d'Ivoire	2859	26378274	CIV
Costa Rica	Costa Rica	1623	5094118	CRI
Croacia	Croatia	2984	4105267	HRV
Cuba	Cuba	43348	11326616	CUB
Dinamarca	Denmark	15579	5792202	DNK
Ecuador	Ecuador	155993	17643054	ECU
Egipto	Egypt	3829	102334404	EGY
El Salvador	El Salvador	5901	6486205	SLV
Eslovaquia	Slovakia	11843	5459642	SVK
Eslovenia	Slovenia	2430	2078938	SVN
Estados Unidos	United States	27599	331002651	USA
Estonia	Estonia	3601	1326535	EST
Etiopía	Ethiopia	484	114963588	ETH
Filipinas	Philippines	33504	109581078	PHL
Finlandia	Finland	15264	5540720	FIN
Francia	France	163690	65273511	FRA
Gambia	Gambia	20027	2416668	GMB
Georgia	Georgia	10995	3989167	GEO
Ghana	Ghana	17165	31072940	GHA
Grecia	Greece	8184	10423054	GRC
Guatemala	Guatemala	1855	17915568	GTM
Guinea	Guinea	9138	13132795	GIN
Guinea Bissau	Guinea-Bissau	4248	1968001	GNB
Guinea Ecuatorial	Equatorial Guinea	8348	1402985	GNQ
Haití	Haiti	356	11402528	HTI
Honduras	Honduras	35839	9904607	HND
Hungría	Hungary	17898	9660351	HUN
India	India	43408	1380004385	IND
Indonesia	Indonesia	1518	273523615	IDN
Irak	Iraq	1190	40222493	IRQ
Irán	Iran	5133	83992949	IRN
Irlanda	Ireland	22536	4937786	IRL
Islandia	Iceland	1657	341243	ISL
Israel	Israel	1892	8655535	ISR
Italia	Italy	316690	60461826	ITA
Japón	Japan	5896	126476461	JPN
Jordania	Jordan	1159	10203134	JOR
Kazajistán	Kazakhstan	1755	18776707	KAZ
Kenia	Kenya	1213	53771296	KEN
Kirguistán	Kyrgyzstan	252	6524195	KGZ
Letonia	Latvia	9037	1886198	LVA
Líbano	Lebanon	1654	6825445	LBN
Libia	Libya	998	6871292	LBY
Liechtenstein	Liechtenstein	56	38128	LIE
Lituania	Lithuania	27300	2722289	LTU
Luxemburgo	Luxembourg	713	625978	LUX
Macedonia	North Macedonia	503	2083374	MKD
Malasia	Malaysia	350	32365999	MYS
Mali	Mali	26235	20250833	MLI
Malta	Malta	435	441543	MLT
Marruecos	Morocco	795619	36910560	MAR
Mauritania	Mauritania	9051	4649658	MRT
México	Mexico	18237	128932753	MEX
Moldavia	Moldova	16296	4033963	MDA
Mongolia	Mongolia	544	3278290	MNG
Mozambique	Mozambique	260	31255435	MOZ
Nepal	Nepal	3815	29136808	NPL
Nicaragua	Nicaragua	18729	6624554	NIC
Nigeria	Nigeria	34056	206139589	NGA
Noruega	Norway	16982	5421241	NOR
Nueva Zelanda	New Zealand	613	4822233	NZL
Países Bajos	Netherlands	62863	17134872	NLD
Pakistán	Pakistan	85238	220892340	PAK
Palestina	Palestine	395	5101414	PSE
Panamá	Panama	1444	4314767	PAN
Paraguay	Paraguay	52622	7132538	PRY
Perú	Peru	64172	32971854	PER
Polonia	Poland	101463	37846611	POL
Portugal	Portugal	169109	10196709	PRT
Reino Unido	United Kingdom	346521	67886011	GBR
Rep. Dem. del Congo	Democratic Republic of the Congo	1706	89561403	COD
República Checa	Czech Republic	13446	10708981	CZE
República Dominicana	Dominican Republic	63247	10847910	DOM
Rumanía	Romania	1060060	19237691	ROU
Rusia	Russia	61996	145934462	RUS
Senegal	Senegal	64845	16743927	SEN
Serbia	Serbia	3069	8737371	SRB
Sierra Leona	Sierra Leone	550	7976983	SLE
Singapur	Singapore	291	5850342	SGP
Siria	Syria	2770	17500658	SYR
Sri Lanka	Sri Lanka	418	21413249	LKA
Sudáfrica	South Africa	1206	59308690	ZAF
Suecia	Sweden	32158	10099265	SWE
Suiza	Switzerland	18305	8654622	CHE
Tailandia	Thailand	1879	69799978	THA
Taiwán	Taiwan	554	23816775	TWN
Tanzania	Tanzania	251	59734218	TZA
Togo	Togo	380	8278724	TGO
Túnez	Tunisia	2013	11818619	TUN
Turquía	Turkey	3974	84339067	TUR
Ucrania	Ukraine	91879	43733762	UKR
Uruguay	Uruguay	21352	3473730	URY
Uzbekistán	Uzbekistan	442	33469203	UZB
Venezuela	Venezuela	67867	28435940	VEN
Vietnam	Vietnam	1021	97338579	VNM
